name_match,name_steam,developer_steam,publisher_steam,price_steam,initialprice_steam,discount_steam,ccu,positive,owners_midpoint,approval_rate_steam,average_2weeks,name_gog,developer_gog,publisher_gog,price_gog,initialprice_gog,discount_gog,approval_rate_gog,name_epic,developer_epic,publisher_epic,price_epic,initialprice_epic,discount_epic,approval_rate_epic
fallout 2,,,,,,,,,,,,Fallout 2,Interplay,Bethesda Softworks LLC,10.0,19.99,50.0,90.0,,,,,,,
fallout 3,,,,,,,,,,,,Fallout 3: Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks LLC,13.19,39.99,67.0,74.0,,,,,,,
fallout 4,Fallout 4,Bethesda Game Studios,Bethesda Softworks,59.99,59.99,0.0,11179.0,326054.0,15000000.0,83.12,788.0,Fallout 4: Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks LLC,79.99,199.9,60.0,80.0,Fallout 4,Bethesda Game Studios,Bethesda Softworks,59.99,59.99,0.0,
fallout new vegas,,,,,,,,,,,,Fallout: New Vegas Ultimate Edition,Obsidian Entertainment,Bethesda Softworks LLC,20.0,39.99,50.0,92.0,,,,,,,
far cry 5,,,,,,,,,,,,,,,,,,,Far Cry 5 Standard Edition,Ubisoft Entertainment,Unknown,179.99,179.99,0.0,
far cry 6,,,,,,,,,,,,,,,,,,,Far Cry 6 Standard Edition,Ubisoft Entertainment,Unknown,249.99,249.99,0.0,
far cry primal,,,,,,,,,,,,,,,,,,,Far Cry Primal Standard Edition,Ubisoft Entertainment,Unknown,99.99,99.99,0.0,
farming simulator 22,,,,,,,,,,,,,,,,,,,Farming Simulator 22,GIANTS Software GmbH,Unknown,149.0,149.0,0.0,
farming simulator 25,,,,,,,,,,,,,,,,,,,Farming Simulator 25,GIANTS Software,GIANTS Software,143.95,143.95,0.0,
fear platinum,,,,,,,,,,,,F.E.A.R. Platinum,"Monolith, TimeGate Studios, Inc.",Warner Bros. Interactive Entertainment,16.99,16.99,0.0,90.0,,,,,,,
football manager 26,,,,,,,,,,,,,,,,,,,Football Manager 26,Sports Interactive,SEGA,500.0,500.0,0.0,
forgotten realms demon stone,,,,,,,,,,,,Forgotten Realms: Demon Stone,Stormfront Studios,Hasbro Inc.,19.99,19.99,0.0,68.0,,,,,,,
freespace 2,,,,,,,,,,,,Freespace 2,Volition,Interplay,73.99,73.99,0.0,96.0,,,,,,,
ftl advanced,,,,,,,,,,,,FTL: Advanced Edition,Subset Games,Subset Games,8.39,23.99,65.0,92.0,,,,,,,
garrys mod,Garry's Mod,Facepunch Studios,Valve,12.99,25.99,50.0,18400.0,1122546.0,35000000.0,96.8,483.0,,,,,,,,,,,,,,
ghost of tsushima,,,,,,,,,,,,,,,,,,,Ghost of Tsushima DIRECTOR'S CUT,"Sucker Punch Productions, Nixxes Software",PlayStation Publishing LLC,249.9,249.9,0.0,
